date,mean_co,max_value_co,max_hour_co,mean_so2,max_value_so2,max_hour_so2,mean_no2,max_value_no2,max_hour_no2,mean_o3,max_value_o3,max_hour_o3,mean_pm2_5,AQI,AQI_pollutant
2013-01-01,0.71245225,1.4,14.0,0.21382,0.5,6.0,24.079167,37.3,18.0,0.01465575,0.04,10.0,21.600000000000005,2,['pm2_5']
2013-01-02,0.93307425,1.8,8.0,0.7730834,4.9,12.0,33.025,44.3,19.0,0.01202075,0.035,11.0,12.9,1,"['pm2_5', 'no2']"
2013-01-03,0.987355,1.8,6.0,0.7853494,3.8,10.0,36.541667,47.8,8.0,0.011724,0.036,10.0,12.4,1,"['pm2_5', 'no2']"
2013-01-04,0.8566395,1.7,10.0,0.5901424000000001,2.3,18.0,36.826087,45.5,20.0,0.01234,0.035,10.0,11.25,1,"['pm2_5', 'no2']"
2013-01-05,0.9244202499999999,1.7,12.0,0.5067618,2.0,6.0,33.466667,41.3,17.0,0.01117375,0.034,10.0,16.2,1,"['pm2_5', 'no2']"
2013-01-06,0.5934075,1.4,0.0,0.3253105,4.8,7.0,21.804167,38.0,1.0,0.01926125,0.042,11.0,12.5,1,['pm2_5']
2013-01-07,0.70769025,1.5,22.0,0.38928575,1.3,12.0,30.866667,45.9,18.0,0.0123115,0.036,10.0,10.2,1,"['pm2_5', 'no2']"
2013-01-08,1.12202525,2.2,9.0,1.149095,10.8,18.0,41.454167,55.0,9.0,0.0080695,0.029,9.0,15.800000000000002,1,"['pm2_5', 'no2']"
2013-01-09,1.0954727499999999,2.3,8.0,1.1518635000000002,2.8,15.0,38.275,60.5,13.0,0.011005999999999998,0.018,21.0,20.5,2,['pm2_5']
2013-01-10,0.28559475,0.6,2.0,0.03105575,0.3,8.0,10.790909,29.0,5.0,0.0340625,0.042,10.0,5.599999999999999,0,[]
2013-01-11,0.27202550000000003,0.6,8.0,0.06832275,0.2,10.0,7.629167,25.5,6.0,0.034114000000000005,0.041,10.0,2.3,0,[]
2013-01-12,0.46777725,1.2,22.0,0.116615,0.5,21.0,21.179167,38.5,20.0,0.017878,0.037,10.0,6.900000000000001,0,[]
2013-01-13,0.56578775,1.1,6.0,0.08928575,0.3,7.0,22.733333,35.4,23.0,0.01884425,0.042,10.0,11.4,1,['pm2_5']
2013-01-14,0.73099975,1.7,7.0,0.637918,1.6,20.0,33.179167,45.3,18.0,0.013057000000000001,0.035,10.0,10.3,1,"['pm2_5', 'no2']"
2013-01-15,0.689821,1.5,12.0,0.5690082000000001,3.4,9.0,31.233333,42.9,7.0,0.013757,0.033,10.0,8.4,1,['no2']
2013-01-16,0.983105,2.0,16.0,0.6977304,2.1,10.0,38.7375,46.8,8.0,0.00937275,0.027,10.0,13.950000000000001,1,"['pm2_5', 'no2']"
2013-01-17,1.1935635,2.4,7.0,1.0859636,3.4,11.0,,,,0.00993875,0.031,10.0,13.1,5,['no2']
2013-01-18,0.937415,1.7,9.0,0.6774156,3.0,6.0,,,,0.012426,0.038,10.0,9.1,5,['no2']
2013-01-19,0.8207465,1.8,10.0,0.5403244,2.7,15.0,31.229167,45.9,18.0,0.014827,0.042,10.0,8.5,1,['no2']
2013-01-20,0.69137875,1.5,10.0,0.18497875,1.9,7.0,26.9875,43.5,19.0,0.0169775,0.046,11.0,7.400000000000001,1,['no2']
2013-01-21,0.937875,1.8,22.0,0.8326314,2.1,10.0,34.854167,47.5,8.0,0.01204175,0.036,10.0,10.6,1,"['pm2_5', 'no2']"
2013-01-22,0.9272862500000001,2.1,22.0,0.73423975,2.6,17.0,38.929167,54.1,18.0,0.01020525,0.03,9.0,10.0,1,"['pm2_5', 'no2']"
2013-01-23,0.629484,1.6,0.0,0.3284754,2.9,22.0,34.370833,42.6,9.0,0.01005925,0.017,22.0,7.7,1,['no2']
2013-01-24,0.41219225,1.3,22.0,0.064253,0.7,4.0,17.866667,25.7,17.0,0.009812999999999999,0.02,3.0,,5,['pm2_5']
2013-01-25,0.480547,1.0,0.0,0.18461840000000002,2.1,19.0,22.020833,26.9,16.0,0.0077800000000000005,0.016,8.0,6.8,0,[]
2013-01-26,0.35382775,0.7,0.0,0.17422200000000002,1.6,13.0,15.473913,22.1,0.0,0.016316499999999998,0.031,10.0,7.8,0,[]
2013-01-27,0.24096374999999998,0.6,6.0,0.061017999999999996,1.5,6.0,8.2375,17.3,21.0,0.02879725,0.037,12.0,4.4,0,[]
2013-01-28,0.26790925,0.8,4.0,0.0071082,2.3,7.0,9.058333,22.5,5.0,0.031837000000000004,0.041,10.0,2.5,0,[]
2013-01-29,0.54617575,1.5,22.0,0.43043760000000003,2.5,13.0,24.629167,36.8,19.0,0.01286875,0.034,8.0,8.6,0,[]
2013-01-30,0.862529,1.5,12.0,0.5794534,2.1,10.0,30.595455,43.6,19.0,0.0087775,0.032,11.0,13.800000000000002,1,"['pm2_5', 'no2']"
2013-01-31,0.95094175,1.8,4.0,,,,,,,,,,10.0,5,"['o3', 'no2', 'so2']"
2013-02-01,0.98552,2.0,22.0,0.6194588,2.4,11.0,35.058333,47.7,19.0,0.00521775,0.019,10.0,11.699999999999998,1,"['pm2_5', 'no2']"
2013-02-02,0.76795475,1.8,0.0,0.201124,2.4,6.0,26.804167,38.4,15.0,0.009878749999999999,0.032,20.0,8.0,0,[]
2013-02-03,0.39638249999999997,1.1,22.0,0.116534,2.6,18.0,19.154167,32.7,21.0,0.014173999999999999,0.034,11.0,7.8,0,[]
2013-02-04,0.707489,1.4,8.0,0.3305694,1.6,12.0,27.425,42.3,11.0,0.01069575,0.025,11.0,21.899999999999995,2,['pm2_5']
2013-02-05,0.5048170000000001,0.9,8.0,0.189474,0.6,16.0,25.283333,34.2,14.0,0.01208825,0.022,14.0,43.1,3,['pm2_5']
2013-02-06,0.428627,1.0,23.0,0.2812774,2.0,10.0,21.166667,29.5,21.0,0.01521225,0.036,12.0,28.0,3,['pm2_5']
2013-02-07,0.57070775,1.5,7.0,0.6308195999999999,1.6,13.0,,,,0.02012675,0.033,16.0,24.3,5,['no2']
2013-02-08,0.31561075,0.7,6.0,0.15981425,1.7,7.0,,,,0.02191825,0.037,10.0,4.1,5,['no2']
2013-02-09,0.467107,1.0,18.0,0.16566580000000003,1.1,15.0,,,,0.013921,0.035,10.0,9.9,5,['no2']
2013-02-10,0.48102725,1.0,8.0,0.2562342,4.1,17.0,,,,0.016654000000000002,0.034,11.0,11.699999999999998,5,['no2']
2013-02-11,0.591422,1.2,13.0,0.15786039999999998,2.2,19.0,,,,0.01242775,0.035,12.0,11.0,5,['no2']
2013-02-12,0.7055815,1.4,4.0,0.2985248,1.7,10.0,,,,0.0115825,0.033,12.0,9.5,5,['no2']
2013-02-13,0.9022987499999999,1.8,7.0,0.6215674,2.7,10.0,,,,0.00812675,0.026,10.0,17.0,5,['no2']
2013-02-14,1.01417025,1.7,12.0,0.5865996,2.9,11.0,,,,0.0073345,0.024,10.0,18.1,5,['no2']
2013-02-15,0.9732445000000001,2.1,5.0,0.48073,2.5,10.0,,,,0.011337,0.037,11.0,10.35,5,['no2']
2013-02-16,0.72145475,1.3,6.0,0.2608418,2.5,7.0,,,,0.015071999999999999,0.045,11.0,7.900000000000001,5,['no2']
2013-02-17,0.570623,1.3,1.0,0.38328280000000003,2.7,14.0,,,,0.02633175,0.044,11.0,10.5,5,['no2']
2013-02-18,0.2624745,0.6,8.0,0.20941080000000004,2.4,15.0,,,,0.030046,0.036,10.0,12.9,5,['no2']
2013-02-19,0.24608175,0.4,8.0,0.034721199999999994,9.9,6.0,,,,0.02627825,0.033,11.0,,5,"['pm2_5', 'no2']"
2013-02-20,0.29070575,0.7,16.0,0.1070985,2.0,18.0,,,,0.02466975,0.037,11.0,2.4,5,['no2']
2013-02-21,0.4038335,0.8,8.0,0.20961600000000002,2.7,7.0,,,,0.014148,0.031,10.0,8.1,5,['no2']
2013-02-22,0.642269,1.4,7.0,0.38962450000000004,2.3,10.0,,,,0.01191375,0.035,12.0,9.9,5,['no2']
2013-02-23,0.6692445,1.3,2.0,0.3564028,2.4,6.0,,,,0.015137999999999999,0.035,12.0,7.3,5,['no2']
2013-02-24,0.47953100000000004,1.1,11.0,0.1352826,1.4,12.0,,,,0.018769,0.041,12.0,9.5,5,['no2']
2013-02-25,0.610147,1.1,12.0,0.28990879999999997,1.0,9.0,,,,0.0145375,0.036,11.0,9.6,5,['no2']
2013-02-26,0.72539775,1.7,15.0,0.4805954,3.8,12.0,,,,0.0123425,0.039,11.0,12.5,5,['no2']
2013-02-27,0.72536575,1.4,11.0,0.38656480000000004,1.1,19.0,,,,0.012365000000000001,0.035,10.0,8.200000000000001,5,['no2']
2013-02-28,0.7109185,1.4,8.0,0.26416839999999997,1.1,13.0,,,,0.013915,0.04,11.0,7.900000000000001,5,['no2']
2013-03-01,0.779543,1.5,11.0,0.3264828,1.0,9.0,,,,,,,9.6,5,"['o3', 'no2']"
2013-03-02,0.619393,1.4,12.0,0.38638300000000003,1.1,15.0,34.979167,56.6,20.0,0.015324500000000001,0.042,12.0,9.3,1,['no2']
2013-03-03,0.537393,1.3,1.0,0.8526088,3.8,14.0,26.9875,50.5,2.0,0.017305,0.033,12.0,,5,['pm2_5']
2013-03-04,0.27897625000000004,0.5,11.0,0.1745538,1.8,9.0,17.3,26.7,22.0,0.0178955,0.029,12.0,17.1,1,['pm2_5']
2013-03-05,0.353217,0.6,2.0,0.102264,0.4,17.0,,,,,,,20.0,5,"['o3', 'no2']"
2013-03-06,0.3961115,0.6,3.0,,,,11.416667,35.8,6.0,,,,4.1,5,"['o3', 'so2']"
