,day_of_week,month,quarter,year,business_day,PRCP,TMAX,TMIN,TSUN,AWND,WDF5,WSF2,t_minmax,mean_wind_speed,max_value_wind_speed,max_hour_wind_speed,max_value_wind_direction,max_hour_wind_direction,mean_temp,max_value_temp,max_hour_temp,mean_humidity,max_value_humidity,max_hour_humidity,mean_radiation,max_value_radiation,max_hour_radiation,mean_uv_radiation,max_value_uv_radiation,max_hour_uv_radiation,mean_pressure,max_value_pressure,max_hour_pressure,wind_north,wind_south,wind_east,wind_west
2000-01-01,6,1,1,2000,0,0,58,45,,1.12,220.0,8.1,13,2.675,6.9,10.0,357.0,0.0,11.875,13.333333333333334,12.0,,,,0.55375,2.48,12.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-02,7,1,1,2000,0,0,61,44,,4.92,330.0,21.0,17,7.275,11.3,10.0,359.0,21.0,12.199073888888892,16.11111111111111,14.0,31.25,56.0,1.0,1.2725,5.64,12.0,,,,,,,0.0,0.0,1.0,0.0
2000-01-03,1,1,1,2000,1,0,67,42,,0.89,250.0,6.9,25,3.720833,6.1,23.0,317.0,18.0,11.365740555555558,19.444444444444443,15.0,34.25,46.0,4.0,1.190833,5.3,12.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-04,2,1,1,2000,1,0,69,44,,1.79,240.0,8.9,25,5.125,8.7,5.0,294.0,18.0,13.101851666666668,20.555555555555557,13.0,32.958333,44.0,19.0,1.223333,5.32,12.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-05,3,1,1,2000,1,0,71,42,,1.12,210.0,8.9,29,2.6375,5.2,5.0,341.0,19.0,13.680555555555555,22.22222222222222,14.0,35.208333,48.0,4.0,1.2125,5.26,11.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-06,4,1,1,2000,1,0,69,41,,1.57,270.0,8.1,28,3.608333,6.9,23.0,355.0,18.0,12.777777777777779,20.555555555555557,13.0,27.75,41.0,5.0,1.265417,5.37,12.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-07,5,1,1,2000,1,0,65,45,,1.34,260.0,6.0,20,4.183333,7.8,2.0,316.0,18.0,12.106481666666664,18.333333333333332,13.0,30.125,47.0,23.0,0.920833,4.13,13.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-08,6,1,1,2000,0,0,65,39,,1.12,210.0,6.9,26,3.933333,6.9,13.0,326.0,19.0,11.38888888888889,18.88888888888889,12.0,37.541667,49.0,20.0,1.255833,5.3,11.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-09,7,1,1,2000,0,0,65,42,,1.12,200.0,8.1,23,2.741667,5.2,5.0,337.0,19.0,11.574073888888892,18.333333333333332,12.0,42.833333,54.0,19.0,1.106667,5.08,11.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-10,1,1,1,2000,1,0,65,48,,1.34,200.0,6.9,17,2.595833,4.3,2.0,300.0,19.0,13.379629444444447,18.333333333333332,13.0,49.75,56.0,1.0,1.154167,4.84,11.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-11,2,1,1,2000,1,0,63,49,,1.12,220.0,8.1,14,3.3625,5.2,9.0,323.0,20.0,13.865740555555558,17.77777777777778,12.0,52.875,56.0,6.0,1.12125,4.86,12.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-12,3,1,1,2000,1,0,65,52,,1.34,220.0,8.1,13,3.079167,6.1,15.0,325.0,20.0,14.745370555555553,18.333333333333332,14.0,53.416667,56.0,0.0,0.85,4.55,12.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-13,4,1,1,2000,1,0,78,47,,1.79,240.0,6.9,31,4.266667,6.9,17.0,359.0,4.0,17.01388888888889,25.555555555555557,14.0,39.125,54.0,7.0,1.229167,5.37,12.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-14,5,1,1,2000,1,0,80,52,,1.12,250.0,6.9,28,3.695833,6.1,0.0,345.0,19.0,18.98148166666667,26.666666666666668,13.0,23.291667,31.0,0.0,1.024167,4.96,11.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-15,6,1,1,2000,0,0,74,57,,2.01,100.0,6.9,17,4.125,8.7,5.0,217.0,20.0,18.65740722222222,24.444444444444443,13.0,27.666667,44.0,23.0,0.78375,3.92,11.0,,,,,,,0.0,0.0,0.0,1.0
2000-01-16,7,1,1,2000,0,0,64,58,,0.89,160.0,6.9,6,2.0875,4.3,12.0,352.0,18.0,16.203703888888885,17.22222222222222,10.0,43.5,53.0,4.0,0.29875,1.25,13.0,,,,,,,0.0,1.0,0.0,0.0
2000-01-17,1,1,1,2000,1,1,66,58,,0.22,250.0,6.9,8,2.854167,6.1,5.0,344.0,2.0,17.5,20.0,16.0,54.0,56.0,7.0,0.215417,1.1,13.0,,,,,,,0.0,0.0,0.0,1.0
