date,demand_electricity,net_generation_electricity
2015-07-01,92419,68162.0
2015-07-02,93115,73144.0
2015-07-03,84272,63953.0
2015-07-04,74084,58651.0
2015-07-05,70627,56542.0
2015-07-06,79923,65547.0
2015-07-07,80541,69393.0
2015-07-08,77772,65818.0
2015-07-09,77490,68425.0
2015-07-10,77691,63580.0
2015-07-11,74179,57897.0
2015-07-12,74967,58738.0
2015-07-13,88064,68636.0
2015-07-14,87617,64142.0
2015-07-15,86329,63201.0
2015-07-16,87552,60999.0
2015-07-17,87844,65152.0
2015-07-18,73941,58315.0
2015-07-19,85596,70627.0
2015-07-20,97772,79078.0
2015-07-21,92229,77562.0
2015-07-22,90576,71813.0
2015-07-23,89592,70146.0
2015-07-24,94158,76409.0
2015-07-25,88728,66870.0
2015-07-26,81982,60811.0
2015-07-27,89617,68962.0
2015-07-28,92956,69055.0
2015-07-29,93420,71553.0
2015-07-30,96923,72284.0
2015-07-31,98933,75954.0
2015-08-01,87635,64353.0
2015-08-02,84085,60926.0
2015-08-03,94312,69143.0
2015-08-04,97399,69308.0
2015-08-05,101015,74895.0
2015-08-06,96439,75055.0
2015-08-07,89438,65452.0
2015-08-08,79762,56460.0
2015-08-09,74197,50439.0
2015-08-10,83445,60368.0
2015-08-11,85334,61983.0
2015-08-12,92499,71035.0
2015-08-13,101698,78737.0
2015-08-14,106625,81981.0
2015-08-15,102977,75976.0
2015-08-16,100245,74980.0
2015-08-17,105358,78167.0
2015-08-18,97271,71891.0
2015-08-19,93045,64370.0
2015-08-20,90913,62863.0
2015-08-21,88005,61141.0
2015-08-22,83002,55934.0
2015-08-23,83737,57249.0
2015-08-24,99127,71760.0
2015-08-25,97127,71005.0
2015-08-26,107281,81000.0
2015-08-27,110497,84900.0
2015-08-28,113661,88070.0
2015-08-29,104470,80426.0
2015-08-30,96649,66267.0
2015-08-31,98549,72379.0
2015-09-01,92877,64958.0
2015-09-02,89886,63822.0
2015-09-03,85092,60765.0
2015-09-04,82010,56110.0
2015-09-05,76859,52690.0
2015-09-06,78520,55706.0
2015-09-07,91120,68461.0
2015-09-08,113199,88162.0
2015-09-09,124103,93077.0
2015-09-10,121787,88396.0
2015-09-11,117611,85751.0
2015-09-12,98770,68884.0
2015-09-13,96149,69122.0
2015-09-14,99229,72190.0
2015-09-15,94491,67098.0
2015-09-16,86251,58326.0
2015-09-17,86181,59289.0
2015-09-18,91024,64264.0
2015-09-19,91038,64805.0
2015-09-20,99409,72001.0
2015-09-21,103890,74484.0
2015-09-22,97860,67761.0
