"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WSF2"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-01","1.12","0.00","52","58","45","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-02","4.92","0.00","53","61","44","21.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-03","0.89","0.00","55","67","42","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-04","1.79","0.00","57","69","44","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-05","1.12","0.00","57","71","42","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-06","1.57","0.00","55","69","41","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-07","1.34","0.00","55","65","45","6.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-08","1.12","0.00","52","65","39","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-09","1.12","0.00","54","65","42","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-10","1.34","0.00","57","65","48","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-11","1.12","0.00","56","63","49","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-12","1.34","0.00","59","65","52","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-13","1.79","0.00","63","78","47","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-14","1.12","0.00","66","80","52","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-15","2.01","0.00","66","74","57","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-16","0.89","0.00","61","64","58","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-17","0.22","0.03","62","66","58","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-18","1.79","0.00","68","77","59","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-19","2.01","0.00","65","74","55","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-20","2.01","0.00","64","71","57","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-21","1.57","0.00","60","65","54","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-22","1.12","0.00","58","63","53","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-23","0.89","0.02","59","66","51","6.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-24","1.12","0.01","65","73","56","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-25","2.46","0.48","60","63","56","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-26","3.80","0.06","59","68","50","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-27","1.79","0.00","58","68","47","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-28","0.89","0.00","58","71","45","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-29","1.34","0.00","55","66","44","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-30","0.89","0.11","56","59","52","6.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-31","1.34","0.17","58","64","52","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-01","1.12","0.00","63","77","49","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-02","2.46","0.00","67","80","54","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-03","2.91","0.00","63","75","51","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-04","2.24","0.00","59","65","53","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-05","2.01","0.00","60","67","53","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-06","1.34","0.00","62","75","49","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-07","1.79","0.00","65","78","51","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-08","2.46","0.00","63","71","55","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-09","2.01","0.00","59","65","52","12.1"
