"STATION","NAME","DATE","TAVG"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-01","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-02","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-03","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-04","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-05","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-06","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-07","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-08","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-09","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-10","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-11","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-12","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-13","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-14","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-15","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-16","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-17","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-18","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-19","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-20","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-21","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-22","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-23","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-24","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-25","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-26","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-27","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-28","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-29","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-30","35"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-01-31","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-01","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-02","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-03","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-04","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-05","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-06","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-07","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-08","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-09","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-10","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-11","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-12","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-13","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-14","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-15","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-16","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-17","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-18","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-19","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-20","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-21","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-22","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-23","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-24","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-25","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-26","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-27","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-28","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-02-29","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-01","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-02","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-03",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-04","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-05","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-06","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-07","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-08","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-09","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-10","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-11","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-12","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-13","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-14","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-15","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-16","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-17","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-18","62"
