"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-01","0.4",",,W","0.0",",,0,2400",,,"21.1",",,0","10.6",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-02","0.4",",,W","0.0",",,0,2400",,,"25.6",",,0","10.0",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-03","0.6",",,W","0.0",",,0,2400",,,"26.1",",,0","12.2",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-04","1.0",",,W","0.0",",,0,2400",,,"25.0",",,0","13.3",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-05","0.7",",,W","0.0",",,0,2400",,,"25.6",",,0","12.2",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-06","0.3",",,W","0.0",",,0,2400",,,"24.4",",,0","11.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-07","0.2",",,W","0.0",",,0,2400",,,"23.3",",,0","9.4",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-08","0.3",",,W","0.0",",,0,2400",,,"26.1",",,0","10.6",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-09","0.5",",,W","0.0",",,0,2400",,,"25.0",",,0","14.4",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-10","0.3",",,W","0.0",",,0,2400",,,"25.0",",,0","12.2",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-11","0.3",",,W","0.0",",,0,2400",,,"27.2",",,0","11.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-12","0.2",",,W","0.0",",,0,2400",,,"22.8",",,0","11.7",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-13","1.1",",,W","4.1",",,0,2400",,,"18.9",",,0","12.2",",,0","    1",",,W",,,"    1",",,0","    1",",,0","    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-14","0.5",",,W","0.0",",,0,2400",,,"23.3",",,0","10.6",",,0",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-15","0.1",",,W","0.0",",,0,2400",,,"24.4",",,0","10.0",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-16","0.2",",,W","0.0",",,0,2400",,,"21.7",",,0","12.2",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-17","0.4",",,W","7.9",",,0,2400",,,"18.9",",,0","12.2",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-18","2.1",",,W","28.4",",,0,2400",,,"16.7",",,0","13.3",",,0","    1",",,W",,,"    1",",,0",,,"    1",",,W",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-19","1.9",",,W","15.5",",,0,2400",,,"14.4",",,0","10.0",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-20","2.2",",,W","30.5",",,0,2400",,,"15.0",",,0","10.6",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-21","2.4",",,W","24.6",",,0,2400",,,"14.4",",,0","10.0",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-22","0.5",",,W","9.4",",,0,2400",,,"11.7",",,0","7.8",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-23","0.4",",,W","0.0",",,0,2400",,,"15.6",",,0","5.6",",,0","    1",",,W",,,,,,,,,,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-24","0.4",",,W","0.0",",,0,2400",,,"17.8",",,0","6.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-25","0.6",",,W","0.0",",,0,2400",,,"19.4",",,0","7.8",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-26","0.9",",,W","5.1",",,0,2400",,,"16.1",",,0","8.3",",,0",,,,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-27","0.4",",,W","0.0",",,0,2400",,,"20.6",",,0","12.2",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-28","0.2",",,W","0.0",",,0,2400",,,"21.7",",,0","10.0",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-29","0.2",",,W","0.0",",,0,2400",,,"20.0",",,0","10.0",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-30","0.4",",,W","0.0",",,0,2400",,,"17.8",",,0","8.9",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-01-31","0.2",",,W","0.0",",,0,2400",,,"18.9",",,0","8.3",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-01","0.3",",,W","0.0",",,0,2400",,,"20.0",",,0","10.0",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-02","0.5",",,W","0.0",",,0,2400",,,"18.9",",,0","12.2",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-03","0.4",",,W","0.0",",,0,2400",,,"21.1",",,0","9.4",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-04","1.4",",,W","0.0",",,0,2400",,,"18.3",",,0","12.8",",,0",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-05","3.0",",,W","23.9",",,0,2400",,,"14.4",",,0","12.2",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-06","1.0",",,W","48.5",",,0,2400",,,"17.2",",,0","10.6",",,0","    1",",,X","    1",",,W","    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-07","0.4",",,W","0.0",",,0,2400",,,"17.8",",,0","7.2",",,0","    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-08","0.4",",,W","0.0",",,0,2400",,,"17.8",",,0","9.4",",,0",,,,,,,,,"    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-09","0.7",",,W","11.2",",,0,2400",,,"15.0",",,0","7.2",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-10","0.4",",,W","0.0",",,0,2400",,,"18.3",",,0","4.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-11","0.5",",,W","0.0",",,0,2400",,,"18.3",",,0","10.0",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-12","0.3",",,W","0.0",",,0,2400",,,"19.4",",,0","10.0",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
